"ANIO,""SEXO"",""DEFUNCIONES"",""NACIMIENTOS"""
"1940,""F"",4582,7031"
"1940,""M"",5467,7328"
"1941,""F"",4527,6989"
"1941,""M"",5351,7266"
"1942,""F"",4617,7599"
"1942,""M"",5637,7840"
"1943,""F"",4466,7415"
"1943,""M"",5354,7753"
"1944,""F"",4765,7635"
"1944,""M"",5889,7869"
"1945,""F"",4417,8217"
"1945,""M"",5578,8337"
"1946,""F"",4232,7960"
"1946,""M"",5238,8275"
"1947,""F"",4771,8052"
"1947,""M"",5773,8253"
"1948,""F"",4630,8057"
"1948,""M"",5750,8494"
"1949,""F"",4274,8336"
"1949,""M"",5254,9116"
"1950,""F"",4389,9097"
"1950,""M"",5613,9578"
"1951,""F"",4531,9307"
"1951,""M"",5768,9843"
"1952,""F"",4559,9890"
"1952,""M"",5927,10389"
"1953,""F"",4588,10282"
"1953,""M"",5898,10793"
"1954,""F"",4590,11140"
"1954,""M"",6100,11584"
"1955,""F"",4872,11507"
"1955,""M"",6272,12174"
"1956,""F"",4692,12118"
"1956,""M"",6247,12587"
"1957,""F"",5296,11924"
"1957,""M"",6564,12554"
"1958,""F"",5165,12331"
"1958,""M"",6570,13111"
"1959,""F"",5686,12424"
"1959,""M"",7368,13209"
"1960,""F"",5261,12639"
"1960,""M"",6869,13483"
"1961,""F"",5289,13240"
"1961,""M"",6902,13728"
"1962,""F"",5540,13264"
"1962,""M"",7168,13864"
"1963,""F"",5797,13558"
"1963,""M"",7522,14370"
"1964,""F"",6001,13416"
"1964,""M"",7827,14074"
"1965,""F"",6197,12896"
"1965,""M"",7989,13364"
"1966,""F"",6373,12489"
"1966,""M"",7940,12994"
"1967,""F"",6752,12697"
"1967,""M"",8381,13463"
"1968,""F"",6676,13309"
"1968,""M"",8333,13851"
"1969,""F"",6870,14028"
"1969,""M"",8940,14652"
"1970,""F"",6851,14110"
"1970,""M"",8759,14761"
"1971,""F"",7496,14450"
"1971,""M"",9522,15373"
"1972,""F"",7476,14786"
"1972,""M"",9458,15298"
"1973,""F"",7330,15072"
"1973,""M"",9023,15530"
"1974,""F"",7514,15736"
"1974,""M"",9189,16467"
"1975,""F"",7448,15696"
"1975,""M"",9021,16470"
"1976,""F"",7415,16055"
"1976,""M"",9222,16791"
"1977,""F"",7845,16820"
"1977,""M"",9463,17308"
"1978,""F"",7544,16274"
"1978,""M"",9056,17062"
"1979,""F"",7760,16099"
"1979,""M"",9157,16702"
"1980,""F"",8191,15029"
"1980,""M"",9463,15545"
"1981,""F"",7504,15134"
"1981,""M"",8995,15833"
"1982,""F"",7413,15173"
"1982,""M"",8919,15748"
"1983,""F"",7735,14382"
"1983,""M"",9018,15136"
"1984,""F"",8274,14407"
"1984,""M"",9283,15024"
"1985,""F"",7974,14503"
"1985,""M"",8865,15146"
"1986,""F"",8034,14741"
"1986,""M"",8670,15568"
"1987,""F"",8168,14462"
"1987,""M"",9013,15362"
"1988,""F"",8380,15023"
"1988,""M"",9369,15811"
"1989,""F"",7972,14756"
"1989,""M"",8801,15318"
"1990,""F"",8123,14955"
"1990,""M"",8817,15603"
"1991,""F"",8308,14533"
"1991,""M"",8716,15207"
"1992,""F"",8237,14144"
"1992,""M"",8646,15091"
"1993,""F"",8542,14558"
"1993,""M"",9106,15569"
"1994,""F"",7996,15094"
"1994,""M"",8821,15954"
"1995,""F"",8300,15450"
"1995,""M"",9070,16224"
"1996,""F"",8072,15698"
"1996,""M"",8893,16108"
"1997,""F"",8085,14950"
"1997,""M"",8483,15636"
"1998,""F"",8470,14197"
"1998,""M"",8696,15141"
"1999,""F"",8654,13831"
"1999,""M"",9026,14779"
"2000,""F"",8149,13779"
"2000,""M"",8468,14873"
"2001,""F"",8053,13591"
"2001,""M"",8581,14528"
"2002,""F"",8274,13301"
"2002,""M"",8334,14461"
"2003,""F"",8364,13017"
"2003,""M"",8436,13868"
"2004,""F"",8235,12613"
"2004,""M"",8426,13739"
"2005,""F"",8569,12099"
"2005,""M"",8438,13156"
"2006,""F"",8190,12478"
"2006,""M"",8106,13263"
"2007,""F"",8680,12015"
"2007,""M"",8881,13266"
"2008,""F"",8165,11955"
"2008,""M"",8064,13348"
"2009,""F"",8275,12000"
"2009,""M"",8542,13365"
"2010,""F"",8664,12128"
"2010,""M"",8305,12937"
"2011,""F"",8684,11847"
"2011,""M"",8266,12774"
"2012,""F"",7838,7902"
"2012,""M"",7175,8422"
